OTU;Size;regnum;phylum;classis;ordo;familia;genus;RT1;RB1;LT1;LB1;VAG1;BLANK1;CTR1;BLANK2;RT2;RB2;LT2;LB2;VAG2;CTR2;RT3;RB3;LT3;LB3;VAG3;CTR3;BLANK3;RT4;RB4;LT4;LB4;VAG4;RT5;RB5;LT5;LB5;VAG5
Otu0613;31;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0
Otu0614;31;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Megasphaera;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0
Otu0615;31;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillospiraceae_unclassified;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0
Otu0616;31;Bacteria;Firmicutes;Clostridia;Clostridia_unclassified;Clostridia_unclassified;Clostridia_unclassified;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0
Otu0617;31;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalobacteraceae_unclassified;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0
Otu0618;31;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;uncultured;uncultured_ge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;17
Otu0619;31;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_unclassified;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;28
Otu0620;31;Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Sediminispirochaeta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0
Otu0621;31;Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Ignavigranum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0
Otu0622;31;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK3A20_group;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;22;0;0;0;0;0;7;0;0;0;0;0
Otu0623;31;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelatoclostridiaceae_unclassified;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0
Otu0624;31;Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter;0;3;1;0;4;2;0;1;0;0;0;2;1;1;5;2;0;0;0;3;1;1;0;1;0;0;1;0;0;2;0
Otu0625;30;Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;UCG-009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0
Otu0626;30;Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;UCG-010_ge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;1;0;0;0;0;0;1;0;0;0;0;0
Otu0627;30;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0
Otu0628;30;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_UCG-003;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Otu0629;30;Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Arcanobacterium;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
Otu0630;30;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0631;30;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales_UCG-001;Bacteroidales_UCG-001_ge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;28
Otu0632;30;Bacteria;Firmicutes;Clostridia;Clostridia_unclassified;Clostridia_unclassified;Clostridia_unclassified;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30
Otu0633;30;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales_unclassified;Bacteroidales_unclassified;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Otu0634;30;Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;Victivallaceae;Victivallaceae_ge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0
Otu0635;30;Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014_fa;Clostridia_UCG-014_ge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0
